linha_original,Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
640,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,292.33,107.0,38.7,93.54,6994,14470,550,3207,19948,11271,0
641,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,292.64,89.0,38.7,93.54,6992,14436,554,3208,19972,11270,0
642,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,292.88,87.0,38.7,93.54,6991,14411,553,3208,19984,11271,0
643,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.13,86.0,38.7,93.54,6997,14488,553,3209,19958,11270,0
644,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.38,83.0,38.7,93.55,6997,14464,554,3210,19964,11269,0
645,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.63,85.0,38.7,93.54,7005,14456,554,3210,19962,11268,0
646,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.88,86.0,38.7,93.54,7003,14455,554,3211,19970,11271,0
647,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.13,99.0,38.7,93.55,7007,14475,554,3211,19935,11271,0
648,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.38,82.0,38.7,93.54,7009,14485,554,3210,19963,11270,0
649,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.62,76.0,38.7,93.53,7002,14486,556,3210,19969,11270,0
650,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.93,77.0,38.7,93.53,7003,14481,555,3211,19966,11271,0
651,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.18,101.0,38.8,93.54,7001,14470,554,3211,19967,11270,0
652,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.42,82.0,38.8,93.55,6998,14466,557,3211,19968,11270,0
653,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.67,83.0,38.8,93.55,7003,14478,554,3209,19935,11269,0
654,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.93,88.0,38.8,93.54,6995,14477,567,3222,19953,11270,0
655,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.18,87.0,38.8,93.54,6998,14516,567,3222,19937,11301,0
656,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.43,97.0,38.8,93.54,6994,14474,567,3220,19963,11299,0
657,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.67,77.0,38.7,93.54,6995,14482,567,3219,19952,11302,0
658,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.93,94.0,38.8,93.54,6995,14505,566,3219,19964,11307,0
659,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.19,100.0,38.8,93.54,6993,14451,566,3222,19963,11293,0
660,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.44,80.0,38.8,93.54,6991,14438,566,3219,19962,11306,0
661,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.69,93.0,38.8,93.54,6989,14339,566,3218,19969,11311,0
662,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.94,86.0,38.8,93.54,6984,14439,567,3220,19973,11310,0
663,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.24,99.0,38.8,93.54,6991,14417,565,3218,19979,11308,0
664,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.49,100.0,38.8,93.54,6999,14485,566,3219,19970,11307,0
665,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.74,78.0,38.8,93.54,7000,14492,566,3220,19929,11306,0
666,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.98,97.0,38.8,93.54,7000,14487,565,3222,19963,11304,0
667,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.23,91.0,38.7,93.54,6995,14457,565,3220,19969,11304,0
668,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.48,101.0,38.8,93.54,6996,14452,564,3220,19971,11304,0
669,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.73,79.0,38.8,93.54,7003,14474,565,3219,19968,11304,0
670,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.98,89.0,38.8,93.04,6979,14433,563,3217,19929,11285,0
671,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,300.23,86.0,38.8,91.56,6979,14465,551,3205,19909,11281,0
672,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,300.5,90.0,38.8,90.19,6999,14419,558,3212,19906,11278,0
673,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,300.75,90.0,38.8,89.13,7003,14420,557,3214,19916,11281,0
674,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.0,86.0,38.8,88.18,6987,14280,555,3210,19953,11277,0
675,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.25,84.0,38.8,87.34,6999,14395,555,3210,19913,11302,0
676,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.55,84.0,38.8,86.38,7008,14425,556,3211,19903,11293,0
677,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.8,88.0,38.8,85.66,7006,14444,555,3210,19904,11288,0
678,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,302.04,92.0,38.8,85.0,6926,14300,547,3206,19913,11288,0
679,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,302.46,87.0,38.8,83.98,6973,14413,553,3210,19931,11285,0
680,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,303.02,82.0,38.8,82.71,6945,14487,560,3212,19943,11277,0
681,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,303.43,97.0,38.8,81.88,6923,14526,556,3210,19939,11268,0
682,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,303.74,85.0,38.8,81.31,6960,14850,561,3215,19846,11268,0
683,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,303.98,88.0,38.8,80.87,6940,14875,563,3216,19844,11265,0
684,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,304.23,83.0,38.8,80.44,6930,14835,560,3214,19857,11264,0
685,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,304.48,104.0,38.8,80.05,6911,14670,561,3214,19894,11255,0
686,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,304.73,124.0,38.8,79.66,6896,14643,565,3218,19897,11257,0
687,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,304.98,83.0,38.8,79.29,6889,14558,566,3219,19885,11239,0
688,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,305.23,83.0,38.8,78.93,6909,14669,565,3216,19871,11251,0
689,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,305.48,87.0,38.8,78.59,6901,14676,563,3216,19859,11249,0
690,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,305.73,99.0,38.8,78.26,6884,14684,560,3214,19854,11248,0
691,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,306.0,125.0,38.8,77.91,6872,14692,561,3213,19834,11240,0
