threshold,accuracy,balanced_accuracy,f1_macro
0.5700000000000001,0.698874738898996,0.7188283091427863,0.6900078386042916
0.56,0.6947645037396402,0.7157126577984461,0.6844356977910917
0.5800000000000001,0.6940233137928711,0.7132138736382868,0.6859048131408556
0.55,0.6865440334209285,0.7086610062872368,0.6741447814216749
0.59,0.68971093592076,0.708177689366369,0.6822911900968622
0.54,0.6849942726231386,0.7076211201535196,0.6717230257104265
0.53,0.6841183208678661,0.7070960310376739,0.6702363527843176
0.52,0.6782561821979651,0.702051256294647,0.6626506225409652
0.6,0.6844552253891247,0.7020387411035105,0.6778569341275249
0.64,0.6873526042719493,0.7009440186717869,0.6843853662238978
0.61,0.683377130921097,0.7000501705469249,0.6776981698216851
0.63,0.6835118927296004,0.6988499472495672,0.6790905675907515
0.62,0.6819621319318105,0.6982085162582213,0.6766682784898048
0.51,0.66835118927296,0.6935426828398067,0.6494863710655714
0.65,0.681086180176538,0.6928550883583473,0.6792066221972634
0.5,0.6655211912943871,0.6912188094540193,0.6454271925513855
0.49,0.6648473822518698,0.6906805738983612,0.6444216961147273
0.47,0.6639040495923455,0.6900348613942582,0.6427796886943229
0.48,0.6638366686880938,0.6898673609304276,0.6429190108374558
0.45999999999999996,0.6620847651775487,0.688418727556365,0.6403802263860415
0.44999999999999996,0.6608719089010174,0.6874311527259513,0.6385773055071212
0.44,0.6579071491139411,0.6848074362191827,0.6346027385766349
0.43,0.6537295330503335,0.6809734787730282,0.6292706618773294
0.42,0.6491476315612156,0.6767673590641272,0.6233791332390255
0.6599999999999999,0.6642409541136042,0.6733520567179679,0.6634837289181343
0.41,0.644970015497608,0.672945120886866,0.6179324147057514
0.4,0.6309547874132471,0.6600903728538917,0.5994204361564986
0.39,0.6186240819351796,0.6487863009156949,0.5826897984063293
0.6699999999999999,0.6418031129977765,0.6480327821160115,0.6417086320806986
0.38,0.6079105181591536,0.6389708780284842,0.5677835774525728
0.37,0.5954450508725827,0.6275310327338117,0.5500704211014631
0.6799999999999999,0.6153224176268446,0.6183356058285661,0.6151912520928028
0.36,0.5827100599690048,0.6158430792639751,0.5314686020520993
0.35,0.569166498214406,0.6033990819997519,0.5111425171809636
0.33999999999999997,0.5584529344383802,0.5935367820369681,0.4946876358211386
0.32999999999999996,0.5466612761943265,0.5826820493735269,0.4760867816829186
0.69,0.5795431574691733,0.5785551925418243,0.5779528856646288
0.32,0.5385081867798666,0.5751767770748046,0.46290841771378666
0.31,0.5276598611953373,0.5651904230244387,0.44494862827331505
0.3,0.5150596321002627,0.5535913658355043,0.42344351991410817
0.7,0.5519169867259619,0.5476277674765313,0.5476643718510604
0.71,0.5181591536958426,0.509954270150281,0.5086557554512152
0.72,0.4697796644430968,0.45584421002247244,0.4475037504574633
0.73,0.4503065831143454,0.4333244409606836,0.41842118328795774
0.74,0.4337982615726703,0.41427217576597913,0.3920752129813493
0.75,0.42894683646654536,0.407685040943338,0.3797942557055476
